#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PHA62_007247-T1      -            782 7814at5125           -            664         0 1331.1   3.0   1   2         0         0 1012.9   1.3     1   461     8   484     8   509 0.97 PHA62_007247
PHA62_007247-T1      -            782 7814at5125           -            664         0 1331.1   3.0   2   2   2.8e-98   7.3e-95  317.7   0.0   473   664   545   782   504   782 0.86 PHA62_007247
PHA62_002922-T1      -            789 7814at5125           -            664   5.7e-44  149.5   5.1   1   3   1.9e-17     5e-14   50.6   0.1    90   251   176   335    94   405 0.76 PHA62_002922
PHA62_002922-T1      -            789 7814at5125           -            664   5.7e-44  149.5   5.1   2   3   1.4e-19   3.7e-16   57.7   0.5   327   453   405   541   392   573 0.83 PHA62_002922
PHA62_002922-T1      -            789 7814at5125           -            664   5.7e-44  149.5   5.1   3   3   6.9e-14   1.8e-10   38.9   0.0   478   568   616   714   605   724 0.76 PHA62_002922
PHA62_002684-T1      -            787 7814at5125           -            664   8.4e-43  145.7   0.0   1   3   5.7e-26   1.5e-22   78.8   0.1   108   296   175   368   129   378 0.88 PHA62_002684
PHA62_002684-T1      -            787 7814at5125           -            664   8.4e-43  145.7   0.0   2   3   4.8e-13   1.2e-09   36.1   0.0   335   452   388   513   379   541 0.83 PHA62_002684
PHA62_002684-T1      -            787 7814at5125           -            664   8.4e-43  145.7   0.0   3   3   2.6e-10   6.9e-07   27.0   0.0   515   570   663   718   652   739 0.88 PHA62_002684
PHA62_006430-T1      -            826 7814at5125           -            664   8.9e-33  112.6   0.1   1   3   7.9e-19     2e-15   55.2   0.1    90   251   183   340   117   405 0.81 PHA62_006430
PHA62_006430-T1      -            826 7814at5125           -            664   8.9e-33  112.6   0.1   2   3     3e-10   7.8e-07   26.8   0.0   335   450   423   547   418   557 0.81 PHA62_006430
PHA62_006430-T1      -            826 7814at5125           -            664   8.9e-33  112.6   0.1   3   3   5.3e-10   1.4e-06   26.0   0.0   514   571   698   755   695   769 0.88 PHA62_006430
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/7814at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Cjavanica_Apopka_97.proteins.fa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Cjavanica_Apopka97/run_hypocreales_odb10/hmmer_output/initial_run_results/7814at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/7814at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Cjavanica_Apopka_97.proteins.fa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 14:57:20 2024
# [ok]
